Make,Model,Year,Style,Distance,Engine,Fuel_type,Price,km_year,Transmission,km_year_cat
Audi,A7,2018,Hatchback,31091.0,3000.0,Petrol,35500.0,7772.75,Automatic,Small
Renault,Clio,2006,Hatchback,280000.0,1461.0,Diesel,4299.0,17500.0,Manual,Medium
Rare,C3,2012,Hatchback,145000.0,1400.0,Diesel,6899.0,14500.0,Automatic,Medium
Audi,A6,1997,Sedan,29800.0,2400.0,Metan/Propan,2750.0,1192.0,Manual,Small
Ford,Fusion,2013,Sedan,178000.0,2000.0,Hybrid,9290.0,19777.777777777777,Automatic,Medium
Toyota,Prius,2014,Sedan,140000.0,800.0,Plug-in Hybrid,11200.0,17500.0,Automatic,Medium
Volkswagen,Vento,1993,Sedan,300000.0,1800.0,Petrol,1700.0,10344.827586206897,Manual,Medium
Renault,Captur,2017,Crossover,129000.0,1500.0,Diesel,10990.0,25800.0,Automatic,Medium
Lexus,CT Series,2012,Hatchback,193000.0,1800.0,Hybrid,10950.0,19300.0,Automatic,Medium
Volvo,XC60,2010,SUV,202000.0,2400.0,Diesel,14750.0,16833.333333333332,Automatic,Medium
Dacia,Dokker,2013,Minivan,209000.0,1500.0,Diesel,5750.0,23222.222222222223,Manual,Medium
Hyundai,i30,2010,Hatchback,145000.0,1400.0,Petrol,4750.0,12083.333333333334,Manual,Medium
Lexus,CT Series,2012,Hatchback,194000.0,1800.0,Hybrid,9999.0,19400.0,Automatic,Medium
Volvo,XC90,2008,SUV,249000.0,2400.0,Diesel,11500.0,17785.714285714286,Manual,Medium
Hyundai,Getz,2008,Hatchback,142000.0,1100.0,Petrol,3499.0,10142.857142857143,Manual,Medium
Mercedes,A Class,2005,Hatchback,260000.0,1500.0,Metan/Propan,4750.0,15294.117647058823,Automatic,Medium
Mercedes,C Class,2002,Coupe,240000.0,2300.0,Petrol,3499.0,12000.0,Manual,Medium
Rare,Xf,2012,Sedan,120000.0,2200.0,Diesel,15999.0,12000.0,Automatic,Medium
Mercedes,E Class,2010,Sedan,182000.0,1800.0,Petrol,11750.0,15166.666666666666,Automatic,Medium
Skoda,Octavia,2005,Universal,300000.0,2000.0,Petrol,4999.0,17647.058823529413,Manual,Medium
Opel,Astra,2008,Universal,310000.0,1300.0,Diesel,4850.0,22142.85714285714,Manual,Medium
Skoda,Superb,2014,Sedan,186000.0,1600.0,Diesel,12300.0,23250.0,Automatic,Medium
Volkswagen,Amarok,2011,Pickup,150000.0,2000.0,Diesel,12800.0,13636.363636363636,Manual,Medium
Mercedes,Vito,2000,Minivan,258000.0,2200.0,Diesel,2999.0,11727.272727272728,Automatic,Medium
Nissan,Qashqai,2016,Crossover,151000.0,1500.0,Diesel,13890.0,25166.666666666668,Manual,Medium
BMW,5 Series,2018,Sedan,46000.0,2000.0,Petrol,27650.0,11500.0,Automatic,Medium
Renault,Megane,2010,Universal,257110.0,1500.0,Diesel,4999.0,21425.833333333332,Manual,Medium
Ford,Mondeo,2016,Sedan,167000.0,1500.0,Diesel,12990.0,27833.333333333332,Manual,Medium
Toyota,C-HR,2018,Crossover,114000.0,1800.0,Hybrid,16750.0,28500.0,Automatic,Medium
Nissan,Qashqai,2017,Crossover,157600.0,1500.0,Diesel,11990.0,31520.0,Manual,Large
Toyota,Auris,2014,Universal,190000.0,1800.0,Hybrid,8990.0,23750.0,Automatic,Medium
Toyota,C-HR,2017,Crossover,119000.0,1800.0,Hybrid,18790.0,23800.0,Automatic,Medium
Peugeot,3008,2018,Crossover,145000.0,1500.0,Diesel,16790.0,36250.0,Automatic,Large
Renault,Kadjar,2016,Crossover,150200.0,1500.0,Diesel,13450.0,25033.333333333332,Automatic,Medium
Lexus,NX Series,2015,SUV,149000.0,2500.0,Hybrid,21750.0,21285.714285714286,Automatic,Medium
Volkswagen,Passat,2006,Sedan,216000.0,2000.0,Petrol,5350.0,13500.0,Automatic,Medium
Rare,Q Series,2016,Crossover,88000.0,1500.0,Diesel,15790.0,14666.666666666666,Automatic,Medium
Volkswagen,Passat,2007,Universal,320000.0,1600.0,Metan/Propan,5999.0,21333.333333333332,Manual,Medium
